pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
K2-266 c,K2-266,3.85525E+18,3.85525E+18,374180079,,157.9356855,0.9372782,11.625,7.17740945,9.611,5.16340945,8.897,4.44940945,10.6269,11.386,11.3527,6.90510945,12.87028355,10.83106422,0.442260861,Gaia,4285,4.581,-0.12,0.686,0.703,,-0.82333,,,,,77.53862762,77.44691467,77.63182068,0.841322422,LO,0.081256971,7.814,0.705,2.256,K2,2018,K2
K2-266 e,K2-266,3.85525E+18,3.85525E+18,374180079,,157.9356855,0.9372782,11.625,7.17740945,9.611,5.16340945,8.897,4.44940945,10.6269,11.386,11.3527,6.90510945,12.87028355,10.83106422,0.442260861,Gaia,4285,4.581,-0.12,0.686,0.703,,-0.82333,,,,,77.53862762,77.44691467,77.63182068,0.841322422,LO,0.081256971,19.482,2.73,3.6648,K2,2018,K2
WASP-66 b,WASP-66,5.44415E+18,5.44415E+18,53735810,,158.2250301,-34.9899074,11.605,3.1440913,10.719,2.2580913,10.452,1.9910913,11.248,,11.5904,3.1294913,1.996244643,-9.792927742,0.957839489,Gaia,6600,4.3,-0.31,1.33,1.76,,0.63724,,,,,492.2454834,485.5783997,498.734436,1.836324334,HI,0.259070128,4.08605,15.6926,4.5024,SuperWASP,2012,WASP
TOI-669 b,TOI-669,3.77751E+18,3.77751E+18,124573851,,158.9007013,-5.1813735,10.606,4.847496127,9.557,3.798496127,9.134,3.375496127,10.1755,,10.6364,4.877896127,7.017988852,52.39309311,0.559408605,Gaia,5597,4.412,0.001,0.9245,0.9882,,-0.06248,7.9,2.3,-2.2,,141.8080139,141.4488525,142.0774384,0.93374455,LO,0.053651989,3.945152,2.58606487,2.8712193,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-784 b,HD 307842,5.25194E+18,5.25194E+18,460984940,HD 307842,159.3412205,-63.6556923,9.412,5.362938591,8.071,4.021938591,7.64,3.590938591,8.7537,,9.23501,5.185948591,15.48332096,15.29401016,0.295485735,Gaia,5558,4.48,-0.13,0.91,0.907,G,-0.19034,,,,,64.53752136,64.49433899,64.57598877,0.867765963,LO,0.061652303,2.7970365,1.93,2.185,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
EPIC 248847494 b,EPIC 248847494,3.88288E+18,3.88288E+18,392876254,,159.3890808,11.8427484,12.353,3.578046929,10.765,1.990046929,10.148,1.373046929,11.594,12.171,12.1722,3.397246929,1.735686389,30.51152992,0.678683221,Gaia,4898,3.52,-0.23,0.9,2.7,,0.54805,,,,,568.8406372,564.8756714,572.6114502,0.984037459,LO,0.057203252,3650,12.44199,53.6,K2,2018,K2
TOI-733 b,TOI-733,5.39241E+18,5.39241E+18,106402532,,159.4093183,-40.888259,9.44,5.059450702,8.22,3.839450702,7.845,3.464450702,8.8411,,9.28881,4.908260702,13.28470217,-23.91925812,0.154364988,Gaia,5585,4.47,-0.04,0.956,0.949,G,-0.08619,4.4,1.5,-3.1,,75.18130493,75.11145782,75.24714661,0.97623688,LO,0.069650292,4.884765,1.992,2.61,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
K2-323 b,K2-323,3.85943E+18,3.85943E+18,392852196,,159.4209874,6.2858689,14.935,9.595727884,11.648,6.308727884,10.789,5.449727884,12.9946,14.132,14.0693,8.730027884,8.506749998,17.81139374,2.636905193,Gaia,3710,4.63,,0.478,0.549,,-1.3393,,,,,116.9107437,116.6945953,117.1891708,0.956228435,LO,0,24.93,2.1,,K2,2020,K2
OGLE-TR-211 b,OGLE-TR-211,5.25361E+18,5.25361E+18,390001646,,160.0598236,-62.4555353,15.364,4.134576229,13.767,2.537576229,13.379,2.149576229,14.5509,,15.0702,3.840776229,0.5469069,,,,6325,4.22,0.11,1.33,1.64,,0.26657,,,,,1761.508545,1654.587402,1871.038818,1.782239437,HI,0.358237207,3.67724,15.244,4.4112,OGLE,2007,Other
TOI-663 c,TOI-663,3.76252E+18,3.76252E+18,54962195,,160.0658525,-8.5110827,13.667,9.639984945,10.448,6.420984945,9.607,5.579984945,11.7602,,12.8191,8.792084945,15.63895265,32.47837067,0.849132597,Gaia,3681,4.7266,0.07,0.514,0.512,M1 V,-1.37033,,,,30,63.88560486,63.78384399,63.99095917,1.603070021,HI,0.154552668,4.6955507,2.26,2.1638721,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-663 d,TOI-663,3.76252E+18,3.76252E+18,54962195,,160.0658525,-8.5110827,13.667,9.639984945,10.448,6.420984945,9.607,5.579984945,11.7602,,12.8191,8.792084945,15.63895265,32.47837067,0.849132597,Gaia,3681,4.7266,0.07,0.514,0.512,M1 V,-1.37033,,,,30,63.88560486,63.78384399,63.99095917,1.603070021,HI,0.154552668,7.1027268,1.92,2.7542652,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-663 b,TOI-663,3.76252E+18,3.76252E+18,54962195,,160.0658525,-8.5110827,13.667,9.639984945,10.448,6.420984945,9.607,5.579984945,11.7602,,12.8191,8.792084945,15.63895265,32.47837067,0.849132597,Gaia,3681,4.7266,0.07,0.514,0.512,M1 V,-1.37033,,,,30,63.88560486,63.78384399,63.99095917,1.603070021,HI,0.154552668,2.598902,2.27,1.6635706,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
K2-404 b,K2-404,3.88436E+18,3.88436E+18,61312205,,160.3249517,12.1911149,14.622,9.208347822,11.581,6.167347822,10.75,5.336347822,12.8475,13.869,13.8429,8.429247822,8.219267291,68.74120331,2.082768679,Gaia,3748,4.695,0.005,0.552,0.552,M1,-1.23901,,,,,120.9846954,120.7143936,121.2475433,1.050454497,LO,0,13.115365,2.53,2.7,K2,2022,K2
WASP-127 b,WASP-127,3.77808E+18,3.77808E+18,169226822,,160.5587646,-3.8349989,10.148,4.129805915,9.092,3.073805915,8.641,2.622805915,9.62959,,10.054,4.035805915,6.224068869,-8.967746735,0.156942919,Gaia,5620,4.18,-0.193,0.95,1.333,,0.27574,,,,,159.8228302,159.3230286,160.2604523,1.12640357,LO,0.105175212,4.17806203,14.694999,4.35288,SuperWASP,2016,WASP
K2-239 d,K2-239,3.85787E+18,3.85787E+18,374339566,,160.5941265,4.4413751,14.632,12.17010141,10.781,8.319101406,9.971,7.509101406,12.2352,13.545,13.4367,10.97480141,32.12902544,-21.15181541,0.985905111,Gaia,3420,4.9,-0.1,0.4,0.36,M3.0 V,-1.79588,,,,,31.072752,31.05676842,31.09137917,1.10487473,LO,0.028318318,10.115,1.1,1.8384,K2,2018,K2
K2-239 c,K2-239,3.85787E+18,3.85787E+18,374339566,,160.5941265,4.4413751,14.632,12.17010141,10.781,8.319101406,9.971,7.509101406,12.2352,13.545,13.4367,10.97480141,32.12902544,-21.15181541,0.985905111,Gaia,3420,4.9,-0.1,0.4,0.36,M3.0 V,-1.79588,,,,,31.072752,31.05676842,31.09137917,1.10487473,LO,0.028318318,7.775,1,1.248,K2,2018,K2
