pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-68 b,Kepler-68,291.0323102,49.0402129,10.077,8.975,8.588,5847.0,4.281,0.11,6.84,0.9,-1.04,5.39875259,2.357,3.43422,Kepler,2013,Kepler
Kepler-1077 b,Kepler-1077,291.0336333,42.2678448,14.923,13.83,13.496,5816.0,4.43,0.03,4.17,3.16,-2.4,34.3511874,2.77,4.222,Kepler,2016,Kepler
KOI-984 b,KOI-984,291.0489438,36.8400772,12.795,10.457,10.016,5295.0,4.54,0.12,1.3,1.3,-1.3,4.2881785,4.3,1.58,Kepler,2022,Kepler
Kepler-1107 b,Kepler-1107,291.049934,39.141674,14.315,12.683,12.152,5268.0,4.55,0.01,4.47,6.03,-2.7,0.571038518,1.34,1.042,Kepler,2016,Kepler
Kepler-607 c,Kepler-607,291.0571451,44.632306,14.672,12.965,12.426,5244.0,4.449,0.02,7.76,3.72,-3.69,39.67679977,2.76001201,5.04,Kepler,2021,Kepler
Kepler-607 b,Kepler-607,291.0571451,44.632306,14.672,12.965,12.426,5196.0,4.56,-0.02,4.9,6.04,-2.98,0.638163204,0.87,1.1839,Kepler,2016,Kepler
Kepler-1920 b,Kepler-1920,291.0620355,38.8632881,14.392,13.282,12.908,6277.0,4.402,0.21,,,,30.2541008,2.95415848,2.0875,Kepler,2021,Kepler
Kepler-783 b,Kepler-783,291.0628615,47.484789,14.153,12.705,12.287,5521.0,4.51,0.01,3.89,3.4,-2.14,4.29264638,0.78,2.622,Kepler,2016,Kepler
Kepler-783 c,Kepler-783,291.0628615,47.484789,14.153,12.705,12.287,5411.49,4.53007,-0.03,9.7,2.2,-2.2,7.05395,2.33153725,1.7244,Kepler,2020,Kepler
CoRoT-10 b,CoRoT-10,291.0636813,0.7460143,15.293,12.527,11.782,5075.0,4.65,0.26,3.0,,,13.2406,10.87,2.98,CoRoT,2010,CoRoT
Kepler-839 b,Kepler-839,291.074684,45.242544,13.693,12.554,12.25,6058.0,4.29,0.29,2.82,0.914,-1.18,37.8144514,2.57,8.5785,Kepler,2016,Kepler
Kepler-502 b,Kepler-502,291.080133,43.8601911,15.136,13.914,13.592,6125.0,4.33,0.05,3.09,1.31,-1.34,4.28686431,4.77,4.4231,Kepler,2016,Kepler
Kepler-891 b,Kepler-891,291.0837644,40.3552252,15.386,14.18,13.85,5887.0,4.41,0.09,3.55,2.45,-1.93,53.44945593,6.41,5.3228,Kepler,2016,Kepler
Kepler-728 b,Kepler-728,291.0923621,45.1155087,15.585,14.384,13.937,5660.0,4.49,-0.03,4.07,3.96,-2.37,5.743477265,3.34,3.4527,Kepler,2016,Kepler
Kepler-1089 b,Kepler-1089,291.0926509,49.1901729,16.233,13.255,12.386,3753.0,4.76,-0.09,3.72,5.26,-2.08,5.132485618,1.83,1.631,Kepler,2016,Kepler
Kepler-157 d,Kepler-157,291.0972257,38.8756049,14.206,12.939,12.573,5866.0,4.42,-0.01,4.07,2.31,-2.11,7.02573474,1.46,2.1114,Kepler,2016,Kepler
